Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost[X,0.97] boost[Y,0.95]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: rotation[0.0,0.0,0.23374] boost[X,0.99711] rotation[0.0,0.0,-1.02842] rotation[0.0,0.0,-0.23374]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]
Note the presence here of a 'housekeeping' rotation at the start/end. That's an artifact of this code always using an axis.

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,0.23374] rotation[0.0,0.0,-1.02842] boost[X,0.99711] rotation[0.0,0.0,-0.23374]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

βx                   βy                   equivβ               equivDirection    θw
----------------------------------------------------------------------------------------------------
0.1                  0.1                  0.14106735979665935      44.856°    -0.288°
0.1                  0.2                  0.2227105745132011       63.320°    -0.580°
0.1                  0.3                  0.31480152477394363      71.479°    -0.882°
0.1                  0.4                  0.4103656905736634       75.896°    -1.199°
0.1                  0.5                  0.5074445782546111       78.635°    -1.539°
0.1                  0.6                  0.6053098380168622       80.491°    -1.915°
0.1                  0.7                  0.7036334272900912       81.830°    -2.345°
0.1                  0.8                  0.8022468448052633       82.840°    -2.871°
0.1                  0.9                  0.9010549372818508       83.628°    -3.599°
0.1                  0.95                 0.9505130193742745       83.961°    -4.157°
0.1                  0.96                 0.9604082465285271       84.023°    -4.306°
0.1                  0.97                 0.9703045913526329       84.085°    -4.480°
0.1                  0.98                 0.9802020199938377       84.145°    -4.692°
0.1                  0.99                 0.9901004999493739       84.203°    -4.980°
0.1                  0.999                0.9990100049549053       84.255°    -5.489°
0.1                  0.9999               0.999901000049505        84.260°    -5.659°
0.1                  0.9999999895816072   0.9999999896857912       84.261°    -5.738°
0.2                  0.1                  0.2227105745132011       26.100°    -0.580°
0.2                  0.2                  0.28000000000000025      44.415°    -1.169°
0.2                  0.3                  0.3555277766926232       55.768°    -1.777°
