Kinematic (Wigner) rotation (θw) for various combined speeds.
Here, the pair of velocities are at always at right angles to each other.

β1                   β2                       θw°
-------------------------------------------------------
0.1                  0.1                     -0.29°
0.1                  0.2                     -0.58°
0.1                  0.3                     -0.88°
0.1                  0.4                     -1.20°
0.1                  0.5                     -1.54°
0.1                  0.6                     -1.91°
0.1                  0.7                     -2.35°
0.1                  0.8                     -2.87°
0.1                  0.9                     -3.60°
0.1                  0.95                    -4.16°
0.1                  0.96                    -4.31°
0.1                  0.97                    -4.48°
0.1                  0.98                    -4.69°
0.1                  0.99                    -4.98°
0.1                  0.999                   -5.49°
0.1                  0.9999                  -5.66°
0.1                  0.9999999895816072      -5.74°
0.2                  0.1                     -0.58°
0.2                  0.2                     -1.17°
0.2                  0.3                     -1.78°
0.2                  0.4                     -2.42°
0.2                  0.5                     -3.10°
0.2                  0.6                     -3.86°
0.2                  0.7                     -4.72°
0.2                  0.8                     -5.78°
0.2                  0.9                     -7.25°
0.2                  0.95                    -8.37°
0.2                  0.96                    -8.67°
0.2                  0.97                    -9.01°
0.2                  0.98                    -9.44°
0.2                  0.99                   -10.02°
0.2                  0.999                  -11.04°
0.2                  0.9999                 -11.38°
0.2                  0.9999999895816072     -11.54°
0.3                  0.1                     -0.88°
0.3                  0.2                     -1.78°
0.3                  0.3                     -2.70°
0.3                  0.4                     -3.67°
0.3                  0.5                     -4.71°
0.3                  0.6                     -5.86°
0.3                  0.7                     -7.18°
0.3                  0.8                     -8.78°
0.3                  0.9                    -10.99°
0.3                  0.95                   -12.69°
0.3                  0.96                   -13.14°
0.3                  0.97                   -13.66°
0.3                  0.98                   -14.31°
0.3                  0.99                   -15.18°
0.3                  0.999                  -16.70°
0.3                  0.9999                 -17.22°
0.3                  0.9999999895816072     -17.46°
0.4                  0.1                     -1.20°
0.4                  0.2                     -2.42°
0.4                  0.3                     -3.67°
0.4                  0.4                     -4.99°
0.4                  0.5                     -6.40°
0.4                  0.6                     -7.96°
0.4                  0.7                     -9.74°
0.4                  0.8                    -11.92°
0.4                  0.9                    -14.91°
