Lorentz factor Γ as a function of speed β=v/c:

β                               Γ                   
--------------------------------------------------
0.10                            1.005037815259212   
0.20                            1.0206207261596576  
0.30                            1.0482848367219182  
0.40                            1.0910894511799618  
0.50                            1.1547005383792515  
0.60                            1.25                
0.70                            1.4002800840280099  
0.80                            1.6666666666666667  
0.90                            2.2941573387056176  
0.95                            3.2025630761017427  
0.96                            3.5714285714285716  
0.97                            4.113450348948636   
0.98                            5.02518907629606    
0.99                            7.088812050083359   
0.999                           22.36627204212922   
0.9999                          70.71244595190174   
0.9999999895816072              6927.629287529257   
0.99999999999999999999995598229 1.0657891132977206E11
