Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost [0.97,0.0,0.0] boost [0.0,0.95,0.0]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: boost [0.97,0.23095,0.0] rotation[0.0,0.0,-1.02842]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,-1.02842] boost [0.97,0.23095,0.0]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

β                    β                    Equivalent           Equivalent    θw      (v = vx + vy)         (v = vy + vx)     
X-axis               Y-axis               β                    direction                                                     
-----------------------------------------------------------------------------------------------------------------------------
0.1                  0.1                  0.1410673597966588    44.856°    -0.288°   [0.1,0.0995,0.0]      [0.0995,0.1,0.0]      
0.1                  0.2                  0.2227105745132009    63.320°    -0.580°   [0.1,0.199,0.0]       [0.09798,0.2,0.0]     
0.1                  0.3                  0.3148015247739439    71.479°    -0.882°   [0.1,0.2985,0.0]      [0.09539,0.3,0.0]     
0.1                  0.4                  0.4103656905736638    75.896°    -1.199°   [0.1,0.39799,0.0]     [0.09165,0.4,0.0]     
0.1                  0.5                  0.5074445782546110    78.635°    -1.539°   [0.1,0.49749,0.0]     [0.0866,0.5,0.0]      
0.1                  0.6                  0.6053098380168622    80.491°    -1.915°   [0.1,0.59699,0.0]     [0.08,0.6,0.0]        
0.1                  0.7                  0.7036334272900910    81.830°    -2.345°   [0.1,0.69649,0.0]     [0.07141,0.7,0.0]     
0.1                  0.8                  0.8022468448052632    82.840°    -2.871°   [0.1,0.79599,0.0]     [0.06,0.8,0.0]        
0.1                  0.9                  0.9010549372818508    83.628°    -3.599°   [0.1,0.89549,0.0]     [0.04359,0.9,0.0]     
0.1                  0.95                 0.9505130193742746    83.961°    -4.157°   [0.1,0.94524,0.0]     [0.03122,0.95,0.0]    
0.1                  0.96                 0.9604082465285271    84.023°    -4.306°   [0.1,0.95519,0.0]     [0.028,0.96,0.0]      
0.1                  0.97                 0.9703045913526329    84.085°    -4.480°   [0.1,0.96514,0.0]     [0.02431,0.97,0.0]    
0.1                  0.98                 0.9802020199938378    84.145°    -4.692°   [0.1,0.97509,0.0]     [0.0199,0.98,0.0]     
0.1                  0.99                 0.9901004999493739    84.203°    -4.980°   [0.1,0.98504,0.0]     [0.01411,0.99,0.0]    
0.1                  0.999                0.9990100049549052    84.255°    -5.489°   [0.1,0.99399,0.0]     [0.00447,0.999,0.0]   
0.1                  0.9999               0.9999010000495048    84.260°    -5.659°   [0.1,0.99489,0.0]     [0.00141,0.9999,0.0]  
0.1                  0.9999999895816072   0.9999999896857911    84.261°    -5.738°   [0.1,0.99499,0.0]     [1.0E-5,1.0,0.0]      
0.2                  0.1                  0.2227105745132009    26.100°    -0.580°   [0.2,0.09798,0.0]     [0.199,0.1,0.0]       
0.2                  0.2                  0.2800000000000000    44.415°    -1.169°   [0.2,0.19596,0.0]     [0.19596,0.2,0.0]     
0.2                  0.3                  0.3555277766926236    55.768°    -1.777°   [0.2,0.29394,0.0]     [0.19079,0.3,0.0]     
0.2                  0.4                  0.4400000000000000    62.964°    -2.416°   [0.2,0.39192,0.0]     [0.1833,0.4,0.0]      
0.2                  0.5                  0.5291502622129182    67.792°    -3.101°   [0.2,0.4899,0.0]      [0.17321,0.5,0.0]     
0.2                  0.6                  0.6209669878504008    71.211°    -3.857°   [0.2,0.58788,0.0]     [0.16,0.6,0.0]        
0.2                  0.7                  0.7144228439796699    73.743°    -4.725°   [0.2,0.68586,0.0]     [0.14283,0.7,0.0]     
0.2                  0.8                  0.8089499366462675    75.686°    -5.783°   [0.2,0.78384,0.0]     [0.12,0.8,0.0]        
0.2                  0.9                  0.9042123644365853    77.221°    -7.246°   [0.2,0.88182,0.0]     [0.08718,0.9,0.0]     
0.2                  0.95                 0.9520504188329524    77.873°    -8.366°   [0.2,0.93081,0.0]     [0.06245,0.95,0.0]    
0.2                  0.96                 0.9616319462247498    77.996°    -8.666°   [0.2,0.9406,0.0]      [0.056,0.96,0.0]      
0.2                  0.97                 0.9712177922587704    78.116°    -9.014°   [0.2,0.9504,0.0]      [0.04862,0.97,0.0]    
0.2                  0.98                 0.9808078303113206    78.234°    -9.440°   [0.2,0.9602,0.0]      [0.0398,0.98,0.0]     
0.2                  0.99                 0.9904019386087650    78.350°   -10.018°   [0.2,0.97,0.0]        [0.02821,0.99,0.0]    
0.2                  0.999                0.9990400192184493    78.452°   -11.035°   [0.2,0.97882,0.0]     [0.00894,0.999,0.0]   
0.2                  0.9999               0.9999040001920183    78.462°   -11.376°   [0.2,0.9797,0.0]      [0.00283,0.9999,0.0]  
0.2                  0.9999999895816072   0.9999999899983430    78.463°   -11.535°   [0.2,0.9798,0.0]      [3.0E-5,1.0,0.0]      
0.3                  0.1                  0.3148015247739439    17.640°    -0.882°   [0.3,0.09539,0.0]     [0.2985,0.1,0.0]      
0.3                  0.2                  0.3555277766926236    32.455°    -1.777°   [0.3,0.19079,0.0]     [0.29394,0.2,0.0]     
0.3                  0.3                  0.4146082488325575    43.650°    -2.701°   [0.3,0.28618,0.0]     [0.28618,0.3,0.0]     
0.3                  0.4                  0.4853864439804639    51.825°    -3.671°   [0.3,0.38158,0.0]     [0.27495,0.4,0.0]     
0.3                  0.5                  0.5634713834792322    57.831°    -4.712°   [0.3,0.47697,0.0]     [0.25981,0.5,0.0]     
0.3                  0.6                  0.6462197768561405    62.339°    -5.860°   [0.3,0.57236,0.0]     [0.24,0.6,0.0]        
0.3                  0.7                  0.7320519107276479    65.807°    -7.175°   [0.3,0.66776,0.0]     [0.21424,0.7,0.0]     
0.3                  0.8                  0.8200000000000001    68.540°    -8.780°   [0.3,0.76315,0.0]     [0.18,0.8,0.0]        
0.3                  0.9                  0.9094503834734472    70.739°   -10.994°   [0.3,0.85855,0.0]     [0.13077,0.9,0.0]     
